timestamp, name, pci.bus_id, driver_version, pstate, pcie.link.gen.max, pcie.link.gen.current, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2022/12/21 13:59:01.330, NVIDIA GeForce GTX 1060 6GB, 00000000:01:00.0, 515.65.01, P8, 3, 1, 41, 0 %, 4 %, 6144 MiB, 5643 MiB, 432 MiB
2022/12/21 13:59:04.330, NVIDIA GeForce GTX 1060 6GB, 00000000:01:00.0, 515.65.01, P2, 3, 3, 41, 5 %, 2 %, 6144 MiB, 5504 MiB, 570 MiB
2022/12/21 13:59:07.331, NVIDIA GeForce GTX 1060 6GB, 00000000:01:00.0, 515.65.01, P2, 3, 3, 42, 0 %, 1 %, 6144 MiB, 5325 MiB, 749 MiB
2022/12/21 13:59:10.332, NVIDIA GeForce GTX 1060 6GB, 00000000:01:00.0, 515.65.01, P2, 3, 3, 42, 4 %, 2 %, 6144 MiB, 5341 MiB, 734 MiB
2022/12/21 13:59:13.333, NVIDIA GeForce GTX 1060 6GB, 00000000:01:00.0, 515.65.01, P2, 3, 3, 42, 4 %, 2 %, 6144 MiB, 5343 MiB, 731 MiB
2022/12/21 13:59:16.333, NVIDIA GeForce GTX 1060 6GB, 00000000:01:00.0, 515.65.01, P2, 3, 3, 42, 4 %, 2 %, 6144 MiB, 5343 MiB, 731 MiB
2022/12/21 13:59:19.334, NVIDIA GeForce GTX 1060 6GB, 00000000:01:00.0, 515.65.01, P2, 3, 3, 42, 4 %, 2 %, 6144 MiB, 5343 MiB, 731 MiB
2022/12/21 13:59:22.335, NVIDIA GeForce GTX 1060 6GB, 00000000:01:00.0, 515.65.01, P2, 3, 3, 42, 4 %, 2 %, 6144 MiB, 5343 MiB, 731 MiB
2022/12/21 13:59:25.336, NVIDIA GeForce GTX 1060 6GB, 00000000:01:00.0, 515.65.01, P2, 3, 3, 42, 4 %, 2 %, 6144 MiB, 5343 MiB, 731 MiB
2022/12/21 13:59:28.336, NVIDIA GeForce GTX 1060 6GB, 00000000:01:00.0, 515.65.01, P2, 3, 3, 42, 4 %, 2 %, 6144 MiB, 5343 MiB, 731 MiB
2022/12/21 13:59:31.337, NVIDIA GeForce GTX 1060 6GB, 00000000:01:00.0, 515.65.01, P2, 3, 3, 42, 9 %, 3 %, 6144 MiB, 5343 MiB, 731 MiB
