timestamp, name, pci.bus_id, driver_version, pstate, pcie.link.gen.max, pcie.link.gen.current, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2022/12/21 13:58:01.105, NVIDIA GeForce GTX 1060 6GB, 00000000:01:00.0, 515.65.01, P2, 3, 3, 40, 0 %, 0 %, 6144 MiB, 5604 MiB, 470 MiB
2022/12/21 13:58:04.106, NVIDIA GeForce GTX 1060 6GB, 00000000:01:00.0, 515.65.01, P2, 3, 3, 41, 1 %, 1 %, 6144 MiB, 5618 MiB, 457 MiB
2022/12/21 13:58:07.106, NVIDIA GeForce GTX 1060 6GB, 00000000:01:00.0, 515.65.01, P2, 3, 3, 41, 0 %, 1 %, 6144 MiB, 5499 MiB, 576 MiB
2022/12/21 13:58:10.107, NVIDIA GeForce GTX 1060 6GB, 00000000:01:00.0, 515.65.01, P2, 3, 3, 41, 0 %, 1 %, 6144 MiB, 5507 MiB, 567 MiB
2022/12/21 13:58:13.108, NVIDIA GeForce GTX 1060 6GB, 00000000:01:00.0, 515.65.01, P2, 3, 3, 41, 0 %, 1 %, 6144 MiB, 5515 MiB, 559 MiB
2022/12/21 13:58:16.109, NVIDIA GeForce GTX 1060 6GB, 00000000:01:00.0, 515.65.01, P2, 3, 3, 42, 1 %, 1 %, 6144 MiB, 5515 MiB, 559 MiB
2022/12/21 13:58:19.109, NVIDIA GeForce GTX 1060 6GB, 00000000:01:00.0, 515.65.01, P2, 3, 3, 42, 1 %, 1 %, 6144 MiB, 5533 MiB, 541 MiB
2022/12/21 13:58:22.110, NVIDIA GeForce GTX 1060 6GB, 00000000:01:00.0, 515.65.01, P2, 3, 3, 42, 0 %, 1 %, 6144 MiB, 5529 MiB, 545 MiB
2022/12/21 13:58:25.111, NVIDIA GeForce GTX 1060 6GB, 00000000:01:00.0, 515.65.01, P2, 3, 3, 42, 1 %, 1 %, 6144 MiB, 5529 MiB, 545 MiB
2022/12/21 13:58:28.111, NVIDIA GeForce GTX 1060 6GB, 00000000:01:00.0, 515.65.01, P2, 3, 3, 42, 7 %, 3 %, 6144 MiB, 5505 MiB, 570 MiB
2022/12/21 13:58:31.112, NVIDIA GeForce GTX 1060 6GB, 00000000:01:00.0, 515.65.01, P2, 3, 3, 42, 7 %, 3 %, 6144 MiB, 5491 MiB, 584 MiB
2022/12/21 13:58:34.113, NVIDIA GeForce GTX 1060 6GB, 00000000:01:00.0, 515.65.01, P2, 3, 3, 42, 14 %, 3 %, 6144 MiB, 5491 MiB, 584 MiB
2022/12/21 13:58:37.114, NVIDIA GeForce GTX 1060 6GB, 00000000:01:00.0, 515.65.01, P2, 3, 3, 42, 1 %, 1 %, 6144 MiB, 5496 MiB, 578 MiB
2022/12/21 13:58:40.115, NVIDIA GeForce GTX 1060 6GB, 00000000:01:00.0, 515.65.01, P2, 3, 3, 42, 0 %, 1 %, 6144 MiB, 5510 MiB, 564 MiB
2022/12/21 13:58:43.115, NVIDIA GeForce GTX 1060 6GB, 00000000:01:00.0, 515.65.01, P2, 3, 3, 42, 0 %, 1 %, 6144 MiB, 5510 MiB, 564 MiB
2022/12/21 13:58:46.116, NVIDIA GeForce GTX 1060 6GB, 00000000:01:00.0, 515.65.01, P2, 3, 3, 42, 0 %, 1 %, 6144 MiB, 5510 MiB, 564 MiB
2022/12/21 13:58:49.117, NVIDIA GeForce GTX 1060 6GB, 00000000:01:00.0, 515.65.01, P2, 3, 3, 42, 0 %, 0 %, 6144 MiB, 5634 MiB, 440 MiB
