,vbv-buf-capacity,trellis,sync-lookahead,quantizer,qp-min,qp-max,ip-factor,b-pyramid,MegaBytes
0,600,true,-1,21,10,51,1.4,false,23.332 MegaBytes
1,0,true,100,0,10,10,0,true,147.536 MegaBytes
2,0,true,100,0,10,10,0,false,147.794 MegaBytes
3,0,true,100,0,10,10,2,true,147.536 MegaBytes
4,0,true,100,0,10,10,2,false,147.794 MegaBytes
5,0,true,100,0,10,51,0,true,14.484 MegaBytes
6,0,true,100,0,10,10,0,true,147.536 MegaBytes
7,0,true,100,0,10,10,0,false,147.794 MegaBytes
8,0,true,100,0,10,10,2,true,147.536 MegaBytes
9,0,true,100,0,10,10,2,false,147.794 MegaBytes
10,0,true,100,0,10,51,0,true,14.484 MegaBytes
11,0,true,100,0,10,51,0,false,14.479 MegaBytes
12,0,true,100,0,10,51,2,true,14.631 MegaBytes
13,0,true,100,0,10,51,2,false,14.628 MegaBytes
14,0,true,100,0,51,10,0,true,147.536 MegaBytes
15,0,true,100,0,51,10,0,false,147.794 MegaBytes
16,0,true,100,0,51,10,2,true,147.536 MegaBytes
17,0,true,100,0,51,10,2,false,147.794 MegaBytes
18,0,true,100,0,51,51,0,true,3.386 MegaBytes
19,0,true,100,0,51,51,0,false,3.383 MegaBytes
20,0,true,100,0,51,51,2,true,3.386 MegaBytes
21,0,true,100,0,51,51,2,false,3.383 MegaBytes
22,0,true,100,50,10,10,0,true,147.536 MegaBytes
23,0,true,100,50,10,10,0,false,147.794 MegaBytes
24,0,true,100,50,10,10,2,true,147.536 MegaBytes
25,0,true,100,50,10,10,2,false,147.794 MegaBytes
26,0,true,100,50,10,51,0,true,14.484 MegaBytes
27,0,true,100,50,10,51,0,false,14.479 MegaBytes
28,0,true,100,50,10,51,2,true,14.631 MegaBytes
29,0,true,100,50,10,51,2,false,14.628 MegaBytes
30,0,true,100,50,51,10,0,true,147.536 MegaBytes
31,0,true,100,50,51,10,0,false,147.794 MegaBytes
32,0,true,100,50,51,10,2,true,147.536 MegaBytes
33,0,true,100,50,51,10,2,false,147.794 MegaBytes
34,0,true,100,50,51,51,0,true,3.386 MegaBytes
35,0,true,100,50,51,51,0,false,3.383 MegaBytes
36,0,true,100,50,51,51,2,true,3.386 MegaBytes
37,0,true,100,50,51,51,2,false,3.383 MegaBytes
38,0,true,250,0,10,10,0,true,147.536 MegaBytes
39,0,true,250,0,10,10,0,false,147.794 MegaBytes
40,0,true,250,0,10,10,2,true,147.536 MegaBytes
41,0,true,250,0,10,10,2,false,147.794 MegaBytes
42,0,true,250,0,10,51,0,true,14.484 MegaBytes
43,0,true,250,0,10,51,0,false,14.479 MegaBytes
44,0,true,250,0,10,51,2,true,14.631 MegaBytes
45,0,true,250,0,10,51,2,false,14.628 MegaBytes
46,0,true,250,0,51,10,0,true,147.536 MegaBytes
47,0,true,250,0,51,10,0,false,147.794 MegaBytes
48,0,true,250,0,51,10,2,true,147.536 MegaBytes
49,0,true,250,0,51,10,2,false,147.794 MegaBytes
50,0,true,250,0,51,51,0,true,3.386 MegaBytes
51,0,true,250,0,51,51,0,false,3.383 MegaBytes
52,0,true,250,0,51,51,2,true,3.386 MegaBytes
53,0,true,250,0,51,51,2,false,3.383 MegaBytes
54,0,true,250,50,10,10,0,true,147.536 MegaBytes
55,0,true,250,50,10,10,0,false,147.794 MegaBytes
56,0,true,250,50,10,10,2,true,147.536 MegaBytes
57,0,true,250,50,10,10,2,false,147.794 MegaBytes
58,0,true,250,50,10,51,0,true,14.484 MegaBytes
59,0,true,250,50,10,51,0,false,14.479 MegaBytes
60,0,true,250,50,10,51,2,true,14.631 MegaBytes
61,0,true,250,50,10,51,2,false,14.628 MegaBytes
62,0,true,250,50,51,10,0,true,147.536 MegaBytes
63,0,true,250,50,51,10,0,false,147.794 MegaBytes
64,0,true,250,50,51,10,2,true,147.536 MegaBytes
65,0,true,250,50,51,10,2,false,147.794 MegaBytes
66,0,true,250,50,51,51,0,true,3.386 MegaBytes
67,0,true,250,50,51,51,0,false,3.383 MegaBytes
68,0,true,250,50,51,51,2,true,3.386 MegaBytes
69,0,true,250,50,51,51,2,false,3.383 MegaBytes
70,0,false,100,0,10,10,0,true,150.244 MegaBytes
71,0,false,100,0,10,10,0,false,150.497 MegaBytes
72,0,false,100,0,10,10,2,true,150.244 MegaBytes
73,0,false,100,0,10,10,2,false,150.497 MegaBytes
74,0,false,100,0,10,51,0,true,14.473 MegaBytes
75,0,false,100,0,10,51,0,false,14.466 MegaBytes
76,0,false,100,0,10,51,2,true,14.606 MegaBytes
77,0,false,100,0,10,51,2,false,14.601 MegaBytes
78,0,false,100,0,51,10,0,true,150.244 MegaBytes
